dtm,f
2024-01-01 00:12:12,50.058
2024-01-01 00:12:13,50.056
2024-01-01 00:12:14,50.057
2024-01-01 00:12:15,50.058
2024-01-01 00:12:16,50.059
2024-01-01 00:12:17,50.056
2024-01-01 00:12:18,50.057
2024-01-01 00:12:19,50.059
2024-01-01 00:12:20,50.059
2024-01-01 00:12:21,50.059
2024-01-01 00:12:22,50.061
2024-01-01 00:12:23,50.067
2024-01-01 00:12:24,50.071
2024-01-01 00:12:25,50.075
2024-01-01 00:12:26,50.08
2024-01-01 00:12:27,50.083
2024-01-01 00:12:28,50.082
2024-01-01 00:12:29,50.081
2024-01-01 00:12:30,50.082
2024-01-01 00:12:31,50.079
2024-01-01 00:12:32,50.077
2024-01-01 00:12:33,50.077
2024-01-01 00:12:34,50.081
2024-01-01 00:12:35,50.084
2024-01-01 00:12:36,50.083
2024-01-01 00:12:37,50.085
2024-01-01 00:12:38,50.087
2024-01-01 00:12:39,50.089
2024-01-01 00:12:40,50.089
2024-01-01 00:12:41,50.089
2024-01-01 00:12:42,50.087
2024-01-01 00:12:43,50.084
2024-01-01 00:12:44,50.085
2024-01-01 00:12:45,50.087
2024-01-01 00:12:46,50.088
2024-01-01 00:12:47,50.088
2024-01-01 00:12:48,50.085
2024-01-01 00:12:49,50.085
2024-01-01 00:12:50,50.085
2024-01-01 00:12:51,50.084
2024-01-01 00:12:52,50.084
2024-01-01 00:12:53,50.086
2024-01-01 00:12:54,50.085
2024-01-01 00:12:55,50.083
2024-01-01 00:12:56,50.083
2024-01-01 00:12:57,50.082
2024-01-01 00:12:58,50.083
2024-01-01 00:12:59,50.083
2024-01-01 00:13:00,50.085
2024-01-01 00:13:01,50.088
2024-01-01 00:13:02,50.085
2024-01-01 00:13:03,50.083
2024-01-01 00:13:04,50.082
2024-01-01 00:13:05,50.083
2024-01-01 00:13:06,50.085
2024-01-01 00:13:07,50.084
2024-01-01 00:13:08,50.083
2024-01-01 00:13:09,50.084
2024-01-01 00:13:10,50.083
2024-01-01 00:13:11,50.082
2024-01-01 00:13:12,50.083
2024-01-01 00:13:13,50.083
2024-01-01 00:13:14,50.082
2024-01-01 00:13:15,50.084
2024-01-01 00:13:16,50.088
2024-01-01 00:13:17,50.092
2024-01-01 00:13:18,50.094
2024-01-01 00:13:19,50.095
2024-01-01 00:13:20,50.096
2024-01-01 00:13:21,50.097
2024-01-01 00:13:22,50.098
2024-01-01 00:13:23,50.1
2024-01-01 00:13:24,50.101
2024-01-01 00:13:25,50.104
2024-01-01 00:13:26,50.101
2024-01-01 00:13:27,50.101
2024-01-01 00:13:28,50.1
2024-01-01 00:13:29,50.104
2024-01-01 00:13:30,50.103
2024-01-01 00:13:31,50.102
2024-01-01 00:13:32,50.104
2024-01-01 00:13:33,50.101
2024-01-01 00:13:34,50.1
2024-01-01 00:13:35,50.102
2024-01-01 00:13:36,50.102
2024-01-01 00:13:37,50.102
2024-01-01 00:13:38,50.101
2024-01-01 00:13:39,50.104
2024-01-01 00:13:40,50.107
2024-01-01 00:13:41,50.104
